"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.637929125E0,-7.514523468E0,-5.419854355E1,-1.140418488E1,5.589280471E1
1.647970125E0,-3.725303192E0,-4.536211899E1,-7.362140350E0,4.610640773E1
1.658011125E0,-2.810256042E0,-3.478990402E1,-3.398383026E0,3.506827581E1
1.668052125E0,-2.810705109E0,-2.492182480E1,-3.814218292E0,2.536820206E1
1.678093125E0,-4.600233765E0,-1.857367584E1,-6.745422821E0,2.028901954E1
1.688134125E0,-4.838388519E0,-1.921194855E1,-9.081165619E0,2.179395649E1
1.698175125E0,-2.171683960E0,-2.368359970E1,-6.516249390E0,2.465949335E1
1.708216125E0,-3.757186890E-1,-2.491014908E1,-3.425027618E0,2.514731608E1
1.718257125E0,-2.320175171E-1,-2.465882172E1,-1.321601715E0,2.469530222E1
1.728298125E0,-1.282832336E0,-2.356579468E1,-1.095721436E-1,2.360093947E1
1.738339125E0,-2.211351471E0,-2.205378891E1,5.201683044E-1,2.217048163E1
1.748380125E0,-2.223326569E0,-2.053729248E1,9.708810425E-1,2.068009123E1
1.758421125E0,-1.647773438E0,-1.930445618E1,1.460213470E0,1.942960136E1
1.768462125E0,-1.925745392E0,-1.861394211E1,2.136507111E0,1.883486126E1
1.778503125E0,-2.113155670E0,-1.787762329E1,2.035167847E0,1.811675328E1
1.788544125E0,-1.350791016E0,-1.647638718E1,1.380728760E0,1.658922490E1
1.798585125E0,-5.348377991E-1,-1.454420517E1,5.697152710E-1,1.456518215E1
1.808626125E0,7.484436035E-4,-1.209335175E1,-4.330494690E-1,1.210110279E1
1.818667125E0,2.797682190E-1,-9.368717651E0,-1.625469818E0,9.512796267E0
1.828708125E0,3.525169373E-1,-6.632108459E0,-2.508184204E0,7.099304108E0
1.838749125E0,1.206491089E-1,-4.308191071E0,-2.544708252E0,5.005058101E0
1.848790125E0,-2.778222656E-1,-2.486928406E0,-1.865720215E0,3.121363488E0
