"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.833114167E0,8.811479169E-1,2.073060143E0,1.719997661E0,2.834147484E0
1.843121167E0,9.451806293E-1,1.400202619E0,2.512045705E0,3.027260713E0
1.853128167E0,8.405495292E-1,4.440954441E-1,4.051805867E0,4.161835540E0
1.863134167E0,1.163129307E0,-3.610228819E-1,5.758939653E0,5.886305567E0
1.873141167E0,2.135530918E0,-7.899021167E-1,6.854452928E0,7.222739272E0
1.883148167E0,3.211274756E0,-1.035145158E0,6.801989370E0,7.592817030E0
1.893154167E0,3.750976270E0,-1.060556573E0,5.533773319E0,6.768844093E0
1.903161167E0,3.606460288E0,-7.925301477E-1,3.446336042E0,5.050929811E0
1.913168167E0,3.255106362E0,-4.814924812E-1,1.332494493E0,3.550083663E0
1.923175167E0,2.956361297E0,-4.806577912E-1,-4.629474521E-1,3.030746504E0
1.933181167E0,2.400391076E0,-3.843909869E-1,-1.284046218E0,2.749255979E0
1.943188167E0,2.000450004E0,2.199137807E-1,-1.248213896E0,2.368163892E0
1.953195167E0,2.165730910E0,-1.163516977E-1,-1.516119869E0,2.646232708E0
1.963201167E0,1.840889721E0,-8.735132074E-1,-1.937502973E0,2.811728660E0
1.973208167E0,1.114471994E0,-1.056711736E0,-1.971230298E0,2.498887034E0
1.983215167E0,5.571919969E-1,-1.098012082E0,-2.126541116E0,2.457289273E0
1.993222167E0,2.127170277E-1,-1.317071292E0,-2.589703746E0,2.913158220E0
2.003228167E0,-2.058483034E-1,-1.551547271E0,-2.803981980E0,3.211228333E0
2.013235167E0,-3.269707444E-1,-1.651038815E0,-2.656157936E0,3.144521270E0
2.023242167E0,-3.277794144E-1,-1.615622230E0,-2.519883898E0,3.011227224E0
2.033248167E0,-5.409706512E-1,-1.750350557E0,-2.894201009E0,3.425313971E0
2.043255167E0,-1.041006407E0,-2.064403633E0,-3.658505770E0,4.327831000E0
2.053262167E0,-1.650980343E0,-2.182438744E0,-4.298888735E0,5.096000326E0
2.063269167E0,-2.169857875E0,-2.051192726E0,-4.542005437E0,5.435576159E0
2.073275167E0,-2.398793617E0,-1.833607306E0,-4.628017395E0,5.525836731E0
2.083282167E0,-2.387662565E0,-1.636023750E0,-4.740379829E0,5.554161247E0
2.093289167E0,-2.297200291E0,-1.495030131E0,-4.668708753E0,5.413786632E0
2.103295167E0,-2.313624828E0,-1.485601788E0,-4.492845556E0,5.267402938E0
2.113302167E0,-2.447805855E0,-1.603198651E0,-3.760069567E0,4.764464563E0
2.123309167E0,-2.053126692E0,-1.398096452E0,-2.590760922E0,3.589156595E0
2.133316167E0,-1.409870990E0,-9.375039661E-1,-1.599634480E0,2.329266058E0
2.143322167E0,-9.913077056E-1,-5.073243105E-1,-1.089332183E0,1.557791234E0
2.153329167E0,-9.530446959E-1,-1.572754830E-1,-1.008354678E0,1.396355588E0
2.163336167E0,-1.171135315E0,9.975905389E-2,-1.305982633E0,1.757014636E0
2.173342167E0,-1.425035452E0,2.011909962E-1,-1.674463638E0,2.207947538E0
2.183349167E0,-1.651925545E0,3.245119902E-1,-1.777879833E0,2.448473553E0
2.193356167E0,-1.650509934E0,4.458399609E-1,-1.478443919E0,2.260255016E0
2.203362167E0,-1.485462917E0,3.016803673E-1,-6.934253973E-1,1.666868292E0
2.213369167E0,-1.600727910E0,-3.747506824E-1,3.486881804E-1,1.680580662E0
2.223376167E0,-1.750916860E0,-1.162794554E0,1.625449353E0,2.657044716E0
2.233383167E0,-1.333127747E0,-1.606795565E0,3.073849694E0,3.715854345E0
2.243388042E0,-3.846415401E-1,-1.835174653E0,3.893337552E0,4.321329936E0
2.253395042E0,8.964933497E-1,-1.612909414E0,3.823696629E0,4.245684045E0
2.263402042E0,1.990335490E0,-1.243459233E0,3.294377432E0,4.044817535E0
2.273408042E0,2.616365295E0,-1.017775420E0,2.416565351E0,3.704189825E0
2.283415042E0,2.888773039E0,-9.486826730E-1,1.398845773E0,3.346905732E0
2.293422042E0,2.818705854E0,-1.313194004E0,9.612448311E-1,3.254776921E0
2.303429042E0,2.462653105E0,-2.188720407E0,1.099540837E0,3.473348153E0
2.313435042E0,2.143056577E0,-3.251703867E0,1.687385985E0,4.244236208E0
2.323442042E0,2.012661914E0,-3.976199614E0,2.149337656E0,4.947789780E0
2.333449042E0,2.335834014E0,-4.041112187E0,2.472020345E0,5.281817190E0
2.343455042E0,3.399093463E0,-3.445489950E0,2.710325080E0,5.547170396E0
2.353462042E0,5.133225013E0,-3.008700894E0,2.815273538E0,6.582404211E0
2.363469042E0,5.773164175E0,-3.826472594E0,2.118117617E0,7.242771524E0
2.373476042E0,5.152744773E0,-4.114721030E0,1.617659985E0,6.789589949E0
2.383482042E0,3.831162938E0,-4.015095878E0,1.309155039E0,5.701990116E0
2.393489042E0,2.703674750E0,-4.053486357E0,9.841939831E-1,4.970839627E0
2.403496042E0,2.092837765E0,-4.383633601E0,1.414157584E0,5.059254405E0
2.413502042E0,2.068323898E0,-4.874999691E0,2.692906810E0,5.940987529E0
2.423509042E0,2.724827052E0,-5.244620318E0,5.410106462E0,8.012488794E0
2.433516042E0,3.433300259E0,-5.425547204E0,6.818238782E0,9.365494820E0
2.443522042E0,4.156151769E0,-5.064759380E0,6.159780319E0,8.992679172E0
2.453529042E0,3.918589922E0,-4.133549357E0,4.599699914E0,7.321121264E0
2.463536042E0,3.283755965E0,-3.314679549E0,2.648537260E0,5.365156416E0
2.473543042E0,2.782015745E0,-2.584065568E0,1.588290882E0,4.115783570E0
2.483549042E0,2.732498599E0,-1.843827655E0,1.712623737E0,3.714744820E0
2.493556042E0,2.972703388E0,-1.218976941E0,1.980011061E0,3.774031534E0
2.503563042E0,3.555666695E0,-7.450109956E-1,1.478274350E0,3.922129789E0
2.513569042E0,5.970491915E0,9.187498990E-1,-2.763423353E0,6.642844550E0
2.523576042E0,6.680314075E0,3.170415291E0,-4.022596101E0,8.417803077E0
2.533583042E0,6.873725350E0,4.670333694E0,-4.485364044E-1,8.322337527E0
2.543590042E0,1.003294732E1,7.113646549E0,-8.154176116E-1,1.232594438E1
2.553596042E0,1.074364597E1,1.000367499E1,-3.086476171E0,1.500085921E1
2.563603042E0,1.084623771E1,1.165442232E1,-6.634190653E0,1.724757715E1
2.573610042E0,8.011005287E0,1.103754574E1,-1.138033759E1,1.776276176E1
2.583616042E0,4.159605135E0,9.776508318E0,-9.512463262E0,1.426076390E1
2.593623042E0,8.591542000E-1,6.678151774E0,-6.930193081E0,9.662475522E0
2.603630042E0,-1.244979801E0,5.082962347E0,-8.334438173E0,9.841206257E0
2.613636042E0,-2.433724591E0,3.887424263E0,-7.847929950E0,9.089834283E0
2.623643042E0,-3.323054516E0,3.200148382E0,-7.292774831E0,8.629496261E0
2.633650042E0,-2.953275429E0,3.213803385E0,-6.667649006E0,7.969185104E0
2.643657042E0,-1.637812706E0,4.762051950E0,-7.675941119E0,9.180394397E0
2.653663042E0,-4.617668992E-1,6.906396668E0,-8.306766225E0,1.081267352E1
2.663670042E0,9.599327159E-1,8.436910627E0,-7.531613710E0,1.135024832E1
2.673677042E0,1.800643044E0,8.912410882E0,-6.173231839E0,1.099009438E1
2.683683042E0,1.854030461E0,7.978884777E0,-4.245541663E0,9.226302360E0
2.693690042E0,-7.321573538E-1,5.905022981E0,-2.680627365E0,6.526186778E0
2.703697042E0,-4.285095153E0,3.343243783E0,-3.322448745E0,6.370085174E0
2.713704042E0,-7.156749299E0,1.165952343E0,-4.466201549E0,8.516188212E0
2.723710042E0,-7.757135555E0,-8.135079110E-1,-4.416557518E0,8.963310072E0
2.733717042E0,-4.840136252E0,-1.624268800E-1,-3.316438977E0,5.869588479E0
2.743724042E0,-2.158869202E0,1.463546383E0,-2.735874489E0,3.779906542E0
2.753730042E0,7.987969011E-1,2.670330418E0,-3.714965315E0,4.644320006E0
2.763737042E0,3.286440421E0,4.567068942E0,-3.762018444E0,6.768426120E0
2.773744042E0,5.767185981E0,5.090325746E0,-3.660624216E0,8.518921293E0
2.783750042E0,7.084212835E0,5.071029934E0,-2.266561466E0,9.002150685E0
2.793757042E0,7.880463858E0,3.373954529E0,3.406567374E0,9.224423074E0
2.803764042E0,7.286611866E0,-2.363182027E0,7.425368632E0,1.066843199E1
2.813771042E0,3.967795996E0,-5.644038942E0,3.967385522E0,7.958563220E0
2.823777042E0,3.388638057E0,-5.325350486E0,5.061508328E0,8.090802941E0
2.833784042E0,4.563355960E0,-5.914693106E0,4.383531275E0,8.661590997E0
2.843791042E0,4.205579453E0,-5.362553980E0,-5.014993143E-1,6.833402175E0
2.853797042E0,4.089119874E0,-3.780943542E0,-3.743888567E0,6.710673365E0
2.863804042E0,4.188728362E0,-1.403277962E0,-4.106024759E0,6.031092243E0
2.873811042E0,4.916074042E0,7.792818189E-2,-3.128022977E0,5.827382305E0
2.883817042E0,5.331368440E0,1.769747525E-1,-2.487775083E0,5.885901322E0
2.893824042E0,4.452112682E0,-6.614703637E-1,-1.185222427E0,4.654417534E0
2.903831042E0,3.972094284E0,-1.425598246E0,1.702925545E-1,4.223607808E0
2.913838042E0,4.017342378E0,-1.584982235E0,2.584961654E0,5.033213210E0
2.923844042E0,3.705442539E0,-1.357358024E0,3.908351448E0,5.554091848E0
2.933851042E0,3.898366157E0,-1.508731327E0,6.213660657E0,7.488865580E0
2.943858042E0,4.515303542E0,-2.402420060E0,8.281915559E0,9.733946452E0
2.953864042E0,5.626712472E0,-2.409064251E0,9.136028289E0,1.099684031E1
2.963871042E0,5.747232943E0,-2.708857429E0,8.236805459E0,1.040257464E1
2.973878042E0,4.692956572E0,-4.093885939E0,7.256106942E0,9.562156212E0
2.983884042E0,1.900281937E0,-6.067602473E0,3.798340763E0,7.406366434E0
2.993891042E0,-3.298034865E0,-7.604089363E0,-2.970234693E0,8.804629643E0
3.003898042E0,-3.049183214E0,-6.987736115E0,-2.364704642E-1,7.627705590E0
3.013905042E0,2.293137646E-1,-6.126765186E0,3.512504888E0,7.065941341E0
3.023911042E0,-3.403040333E0,-4.434274874E0,-1.109762354E0,5.698688415E0
3.033918042E0,-8.343320094E0,-2.444087318E0,-6.266036507E0,1.071670502E1
3.043925042E0,-8.872214783E0,-2.884769450E0,-3.140183432E0,9.843720939E0
3.053931042E0,-9.327490103E0,-3.674616603E0,-1.006763066E0,1.007563649E1
3.063938042E0,-9.109544495E0,-3.462457985E0,2.569137919E-1,9.748765096E0
3.073945042E0,-7.689732361E0,-1.247095616E0,-8.030978206E-1,7.831487558E0
3.083951042E0,-4.751612331E0,1.386474819E0,-2.102225616E0,5.377683954E0
3.093958042E0,-3.314855551E0,3.864813372E0,-3.456151470E0,6.153863234E0
3.103965042E0,-7.820025283E-1,5.123621546E0,-3.176443185E0,6.078882875E0
3.113972042E0,-2.701315398E0,4.176265022E0,-3.941718584E0,6.346293391E0
3.123978042E0,-1.402434092E1,3.401772072E0,1.227453357E-1,1.443153692E1
3.133985042E0,-1.387393182E1,4.285361202E0,2.455417761E0,1.472682523E1
3.143992042E0,-3.926611717E0,4.216026673E0,-1.023762676E0,5.851602387E0
3.153998042E0,3.416122894E0,7.083788912E0,-1.077788098E0,7.937983885E0
3.164005042E0,6.726652089E0,8.999781733E0,-3.161907007E0,1.167225666E1
3.174012042E0,4.180399003E0,9.271260354E0,-3.574080747E0,1.077989135E1
3.184018042E0,-8.852093929E-1,9.234917570E0,-3.379159720E0,9.873500828E0
3.194025042E0,2.462888163E-1,5.526518678E0,-1.822278911E0,5.824411327E0
3.204032042E0,2.438102986E0,9.750530308E-1,-1.221531297E0,2.896068592E0
