"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.185266542E0,-1.560804291E0,2.812201996E0,8.987610168E0,9.545770091E0
1.195308542E0,-1.665436707E0,2.773282928E0,9.095984802E0,9.654103643E0
1.205350542E0,-1.775008850E0,2.745440826E0,9.148974609E0,9.715546210E0
1.215391542E0,-1.832938385E0,2.722089386E0,9.153764648E0,9.724239867E0
1.225433542E0,-1.884880371E0,2.723436584E0,9.120533752E0,9.703299273E0
1.235474542E0,-2.018552399E0,2.734663239E0,9.007219391E0,9.627197825E0
1.245516542E0,-2.151475983E0,2.790796509E0,8.842112732E0,9.518421698E0
1.255558542E0,-2.247875519E0,2.842139740E0,8.656049652E0,9.383916998E0
1.265599542E0,-2.355501709E0,2.895578613E0,8.497529297E0,9.281205092E0
1.275641542E0,-2.495760040E0,2.959944763E0,8.411009216E0,9.259328659E0
1.285682542E0,-2.631677399E0,3.002007294E0,8.322842560E0,9.230789890E0
1.295724542E0,-2.720143433E0,3.002905426E0,8.329728241E0,9.262882589E0
1.305766542E0,-2.766546936E0,2.965483246E0,8.387807465E0,9.316822790E0
1.315807542E0,-2.784958649E0,2.925516357E0,8.410859528E0,9.330444717E0
1.325849542E0,-2.815644836E0,2.886148224E0,8.462352448E0,9.373852802E0
1.335890542E0,-2.873574371E0,2.883453827E0,8.506959686E0,9.430805837E0
1.345932542E0,-2.886597290E0,2.938090210E0,8.499624939E0,9.445022080E0
1.355974542E0,-2.848875732E0,3.025957489E0,8.531508636E0,9.489950015E0
1.366015542E0,-2.872227173E0,3.117267609E0,8.575816498E0,9.566173471E0
1.376057542E0,-2.869532776E0,3.153043213E0,8.637039185E0,9.631944027E0
1.386098542E0,-2.782114563E0,3.106639709E0,8.750952301E0,9.693840204E0
1.396140542E0,-2.716999969E0,3.036735077E0,8.934021606E0,9.819398700E0
1.406182542E0,-2.710713043E0,3.009641418E0,9.066945190E0,9.930528775E0
1.416223542E0,-2.753074951E0,3.013233948E0,9.238937531E0,1.010034491E1
1.426265542E0,-2.700983276E0,3.008443909E0,9.446855164E0,1.027565657E1
1.436306542E0,-2.543510742E0,2.952909393E0,9.569300537E0,1.033250374E1
1.446348542E0,-2.384541321E0,2.882855072E0,9.695338440E0,1.039213540E1
1.456389542E0,-2.270029449E0,2.840942230E0,9.858798523E0,1.050808711E1
1.466431542E0,-2.216440887E0,2.852168884E0,9.982441406E0,1.061586614E1
1.476473542E0,-2.213896179E0,2.903512115E0,1.005548950E1,1.069787773E1
1.486514542E0,-2.221829681E0,2.973566437E0,1.001716919E1,1.068280408E1
1.496556542E0,-2.245330811E0,3.091221771E0,9.855655060E0,1.057029324E1
1.506597542E0,-2.278112640E0,3.241359558E0,9.658664703E0,1.043963662E1
1.516639542E0,-2.251917114E0,3.380719757E0,9.440268860E0,1.027711404E1
1.526681542E0,-2.263742523E0,3.468137970E0,9.207053833E0,1.009566003E1
1.536722542E0,-2.326013031E0,3.524720306E0,8.994944916E0,9.936952445E0
1.546764542E0,-2.424807587E0,3.569028168E0,8.835975494E0,9.833214979E0
1.556805542E0,-2.530787201E0,3.588338013E0,8.749605103E0,9.789619145E0
1.566847542E0,-2.664159851E0,3.574416962E0,8.742270355E0,9.813332527E0
1.576889542E0,-2.798131256E0,3.546125793E0,8.731343079E0,9.830610288E0
1.586930542E0,-2.832110596E0,3.522774353E0,8.717871094E0,9.819982993E0
1.596972542E0,-2.741848297E0,3.514691162E0,8.713081055E0,9.787163405E0
1.607013542E0,-2.625689850E0,3.509601746E0,8.654403076E0,9.701043460E0
1.617055542E0,-2.510728912E0,3.527115326E0,8.628955994E0,9.654179599E0
1.627097542E0,-2.422262878E0,3.608396301E0,8.589138794E0,9.626068073E0
1.637138542E0,-2.368973694E0,3.691024475E0,8.571774902E0,9.628656345E0
1.647176458E0,-2.352507935E0,3.738775177E0,8.610843658E0,9.677776703E0
1.657217458E0,-2.367925873E0,3.756737823E0,8.628207550E0,9.703922791E0
1.667259458E0,-2.378254395E0,3.782184906E0,8.680598602E0,9.762879121E0
1.677301458E0,-2.328408051E0,3.776796112E0,8.766519928E0,9.825352135E0
1.687342458E0,-2.238594818E0,3.763324127E0,8.787925415E0,9.818429016E0
1.697384458E0,-2.179018707E0,3.792663116E0,8.736133118E0,9.769976351E0
1.707425458E0,-2.184108124E0,3.895648956E0,8.635242920E0,9.721822328E0
1.717467458E0,-2.255659332E0,3.998185730E0,8.538843384E0,9.694603369E0
1.727509458E0,-2.273921356E0,4.071682892E0,8.430917816E0,9.634816819E0
1.737550458E0,-2.260898438E0,4.131408691E0,8.350684662E0,9.587185919E0
1.747592458E0,-2.240391083E0,4.231400757E0,8.320597229E0,9.599814728E0
1.757633458E0,-2.254461823E0,4.450844421E0,8.302784271E0,9.686528833E0
1.767675458E0,-2.309098206E0,4.705914001E0,8.416547699E0,9.915434246E0
1.777717458E0,-2.335892487E0,4.934638367E0,8.610693970E0,1.019564123E1
1.787758458E0,-2.095193024E0,4.973407745E0,8.779692535E0,1.030570810E1
1.797800458E0,-1.667532349E0,4.708758087E0,8.974886627E0,1.027139994E1
1.807842458E0,-1.248852997E0,4.248165894E0,9.154064026E0,1.016874798E1
1.817883458E0,-9.686357117E-1,3.858825531E0,9.347312164E0,1.015879099E1
1.827925458E0,-8.623567200E-1,3.657793579E0,9.492510223E0,1.020935176E1
1.837966458E0,-9.424401855E-1,3.622317352E0,9.572743378E0,1.027846254E1
1.848008458E0,-9.973759460E-1,3.668870544E0,9.582173767E0,1.030890023E1
1.858050458E0,-1.064586182E0,3.721411285E0,9.429491272E0,1.019301483E1
1.868091458E0,-1.146615601E0,3.879033508E0,9.194479980E0,1.004490370E1
1.878133458E0,-1.202898560E0,4.177213440E0,9.019793243E0,1.001262939E1
1.888174458E0,-1.196012878E0,4.323459320E0,8.939859467E0,1.000219149E1
1.898216458E0,-9.554631042E-1,4.208049316E0,8.906029816E0,9.896360739E0
1.908258458E0,-6.138734436E-1,3.976929932E0,9.022038574E0,9.878764716E0
1.918299458E0,-3.562591553E-1,3.738475800E0,9.195078735E0,9.932401262E0
1.928341458E0,-2.151026917E-1,3.534599762E0,9.260642395E0,9.914593396E0
1.938382458E0,-2.404000854E-1,3.366199951E0,9.327702942E0,9.919432266E0
1.948424458E0,-3.076103210E-1,3.307971039E0,9.238189087E0,9.817404652E0
1.958466458E0,-4.285588074E-1,3.336860962E0,9.071735229E0,9.675468144E0
1.968507458E0,-6.138734436E-1,3.496129761E0,8.825646973E0,9.512718244E0
1.978549458E0,-8.662486267E-1,3.745361481E0,8.571475525E0,9.394057269E0
1.988590458E0,-1.002615051E0,3.987408142E0,8.309819641E0,9.271340955E0
1.998632458E0,-1.034349060E0,4.081262970E0,8.081394653E0,9.112383056E0
2.008674458E0,-9.857002258E-1,4.008364563E0,7.945327606E0,8.953592697E0
2.018715458E0,-8.535250854E-1,3.898043976E0,7.793543243E0,8.755716315E0
2.028757458E0,-6.884184265E-1,3.812871094E0,7.748486938E0,8.663195470E0
2.038799458E0,-6.221063232E-1,3.750301208E0,7.863298187E0,8.734027354E0
2.048840458E0,-6.743476868E-1,3.751498718E0,8.072563019E0,8.927192231E0
2.058882458E0,-7.358697510E-1,3.838018799E0,8.346493378E0,9.216064469E0
2.068923458E0,-6.890171814E-1,3.931873627E0,8.609496460E0,9.489879040E0
2.078965458E0,-4.611909485E-1,3.982618103E0,8.773555298E0,9.646202186E0
2.089007458E0,-2.023791504E-1,4.004472656E0,8.761879578E0,9.635729983E0
2.099048458E0,1.047821045E-3,4.056564331E0,8.634644165E0,9.540062637E0
2.109090458E0,2.008822632E-1,4.149071960E0,8.515491943E0,9.474637452E0
2.119131458E0,2.472857666E-1,4.237388306E0,8.363857269E0,9.379270671E0
2.129173458E0,1.384620667E-1,4.275858307E0,8.189469910E0,9.239564568E0
2.139215458E0,-6.780899048E-2,4.283941498E0,8.101452942E0,9.164621792E0
2.149256458E0,-2.636018372E-1,4.284390564E0,8.065976715E0,9.137038295E0
2.159298458E0,-3.839515686E-1,4.233496399E0,8.086633759E0,9.135839103E0
2.169340458E0,-4.788542175E-1,4.144730988E0,8.219108276E0,9.217474555E0
2.179381458E0,-5.258564758E-1,4.034560089E0,8.376131744E0,9.312023579E0
2.189423458E0,-4.933740234E-1,3.925287323E0,8.464897156E0,9.343756330E0
2.199464458E0,-4.363426208E-1,3.834575958E0,8.514294434E0,9.348132293E0
2.209506458E0,-3.980223083E-1,3.794309692E0,8.430169373E0,9.253267717E0
2.219548458E0,-4.662803650E-1,3.829486542E0,8.302784271E0,9.155250472E0
2.229589458E0,-5.721102905E-1,3.865860901E0,8.223149872E0,9.104525496E0
2.239631458E0,-6.345304871E-1,3.868555298E0,8.212072906E0,9.099807166E0
2.249673458E0,-6.722520447E-1,3.860472107E0,8.179740143E0,9.069912707E0
2.259714458E0,-5.840853882E-1,3.855831757E0,8.226592712E0,9.104143119E0
2.269756458E0,-4.998106384E-1,3.910318451E0,8.274792480E0,9.165838295E0
2.279797458E0,-5.083428955E-1,3.960164795E0,8.349636841E0,9.255147383E0
2.289839458E0,-5.240602112E-1,4.024231567E0,8.463999023E0,9.386605259E0
2.299881458E0,-5.514532471E-1,4.060905304E0,8.567433929E0,9.497156243E0
2.309922458E0,-5.050497437E-1,4.067641296E0,8.633147278E0,9.556778374E0
2.319964458E0,-4.938230896E-1,4.049229584E0,8.710686035E0,9.618532771E0
2.330006458E0,-5.026547241E-1,4.072281647E0,8.729397125E0,9.645647399E0
2.340047458E0,-4.836442566E-1,4.135599976E0,8.670270081E0,9.618247356E0
2.350089458E0,-4.333488464E-1,4.190984802E0,8.638985138E0,9.611670461E0
2.360130458E0,-4.040098572E-1,4.209097137E0,8.599916382E0,9.583229333E0
2.370172458E0,-4.102967834E-1,4.234095154E0,8.594976654E0,9.590074499E0
2.380214458E0,-4.261637878E-1,4.271667023E0,8.621172180E0,9.630854816E0
2.390255458E0,-4.082011414E-1,4.359234924E0,8.588240662E0,9.639887705E0
2.400297458E0,-3.698808289E-1,4.424948273E0,8.586893463E0,9.667042898E0
2.410339458E0,-3.158432007E-1,4.497247925E0,8.613987122E0,9.722436421E0
2.420380458E0,-2.962339783E-1,4.644391937E0,8.577014008E0,9.758242686E0
2.430422458E0,-3.086581421E-1,4.832999725E0,8.597521362E0,9.867650671E0
2.440463458E0,-3.454815674E-1,4.998405762E0,8.615334320E0,9.966313417E0
2.450505458E0,-3.173400879E-1,5.098098450E0,8.666976929E0,1.006020883E1
2.460547458E0,-2.814147949E-1,5.152435455E0,8.768166504E0,1.017386501E1
2.470588458E0,-3.811074829E-1,5.181924133E0,8.815168762E0,1.023253541E1
2.480630458E0,-4.619393921E-1,5.253774719E0,8.864416351E0,1.031471832E1
